source	pIssn	eIssn	linkIssn	title	publisher	correctPublisher	urls	uniqueId	medlineTA	majMeshList	author	language	country
NLM				MMWR. CDC surveillance summaries : Morbidity and mortality weekly report. CDC surveillance summaries	U.S. Dept. of Health and Human Services, Public Health Service, Centers for Disease Control	US Department of Health and Human Public Health Service Centers for Disease Control		8407977	MMWR CDC Surveill Summ	Disease Outbreaks|Morbidity|Mortality	Centers for Disease Control (U.S.)	eng	United States
NLM	0892-3787	1545-8636	0892-3787	Morbidity and mortality weekly report. Surveillance summaries : MMWR	U.S. Dept. of Health and Human Services, Public Health Service, Centers for Disease Control	US Department of Health and Human Public Health Service Centers for Disease Control		8400155	Morb Mortal Wkly Rep Surveill Summ	Disease Outbreaks|Morbidity|Mortality	Centers for Disease Control (U.S.)	eng	United States
NLM	0046-6891		0046-6891	Harvard dental alumni bulletin.	Harvard Dental Alumni Association	Harvard Dental Alumni Association		17240080R	Harv Dent Alumni Bull	Dentistry	Harvard Dental Alumni Association	eng	United States
NLM		1424-9634	1424-9634	Cancer immunity	Cancer Research Institute	Cancer Research Institute	http://www.cancerimmunity.org/archives/index.htm	101119871	Cancer Immun		Academy of Cancer Immunology	eng	United States
NLM				The Proceedings of the Cardiff Medical Society.	Cardiff, Wales, 1938-[1968?]	Cardiff Wales 1938 [1968?		7505858	Proc Cardiff Med Soc	Medicine	Cardiff Medical Society	eng	Wales
NLM	0015-8976		0015-8976	Foundation news.	Council On Foundations	Council On Foundations		0253250	Found News	Charities|Foundations	Foundation Library Center	eng	United States
NLM	0038-335X		0038-335X	The South Dakota nurse.	South Dakota Nurses Association	South Dakota Nurses Association		0044560	S D Nurse	Nursing	South Dakota Nurses' Association	eng	United States
NLM	0082-125X		0082-125X	Szczecińskie Towarzystwo Naukowe, Wydział Nauk Lekarskich.	Państwowe Wydawnictwo Naukowe	Państwowe Wydawnictwo Naukowe		7809101	Szczecin Tow Nauk Wydz Nauk Lek	Medicine		ger	Poland
NLM	0300-9122		0300-9122	Nordisk hygienisk tidskrift. Supplementum.	Svenska Arbetsgwarefoereningen	Svenska Arbetsgwarefoereningen		0246623	Nord Hyg Tidskr Suppl	Occupational Medicine|Public Health		eng	Sweden
NLM				Philadelphia health bulletin.	Dept. of Public Health	Department of Public Health		22830540R	Phila Health Bull	Public Health	Philadelphia. Dept. of Public Health	eng	United States
NLM	0266-7037		0266-7037	Intensive care world.	King & Wirth Pub. Co	King and Wirth		8600423	Intensive Care World	Critical Care	World Federation of Societies of Intensive & Critical Care Medicine	eng	England
NLM	0161-6781		0161-6781	Health manpower report.	Capitol Publication, inc	Capitol Publication inc		7801226	Health Manpow Rep	Health Manpower|Health Services		eng	United States
NLM	0025-4363		0025-4363	Maryland state medical journal.	University Of Maryland. Medical And Chirurgical Faculty	University of Maryland Medical And Chirurgical Faculty		2985229R	Md State Med J	Medicine	Medical and Chirurgical Faculty of the State of Maryland	eng	United States
NLM	0379-1629		0379-1629	Revista médica de Panamá.	Academia Panameña de Medicina y Cirugia	Academia Panameña de Medicina y Cirugia	http://www.revistamedica.org/	7706654	Rev Med Panama	Medicine	Academia Panameña de Medicina y Cirugia	spa	Panama
NLM	0199-7343		0199-7343	Colorado medicine.	Colorado Medical Society]	Colorado Medical Society		8003550	Colo Med	Medicine	Colorado Medical Society	eng	United States
NLM	0258-4638		0258-4638	The Jordan dental journal.	Published by the Jordan Dental Association in cooperation with the dental sections of the Royal Medical Services	Published by the Jordan Dental Association in cooperation with the dental sections of the Royal Medical		8411106	Jordan Dent J	Dentistry	Niqābat Attibā' al-Asnān al-Urdunīyah	eng	Jordan
NLM	1210-7778		1210-7778	Central European journal of public health.	TIGIS, Ltd. in association with the National Institute of Public Health	TIGIS in association with the National Institute of Public Health		9417324	Cent Eur J Public Health	Public Health	Česká lékařská společnost J.E. Purkyně	eng	Czech Republic
