source	pIssn	eIssn	linkIssn	title	publisher	correctPublisher	urls	uniqueId	medlineTA	majMeshList	author	language	country
NLM	1018-7782		1018-7782	Experimental nephrology.	Karger	Karger	http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9956	9302239	Exp Nephrol	Kidney Diseases|Nephrology		eng	Switzerland
NLM	1016-0922		1016-0922	Biological signals.	Karger	Karger		9210083	Biol Signals	Cell Communication|Signal Transduction		eng	Switzerland
NLM	1018-8665	1421-9832	1018-8665	Dermatology : international journal for clinical and investigative dermatology.	Karger	Karger	http://www.karger.com/drm	9203244	Dermatology	Skin Diseases	Schweizerische Gesellschaft für Dermatologie und Venerologie	eng	Switzerland
NLM	1018-8843	1423-0011	1018-8843	Gynäkologisch-geburtshilfliche Rundschau.	S. Karger	Karger	http://www.karger.com/ggr	9212667	Gynakol Geburtshilfliche Rundsch	Genital Diseases, Female|Obstetrics	Österreichische Gesellschaft für Gynäkologie und Geburtshilfe	ger	Switzerland
NLM	1019-8466	1424-5493	1019-8466	Infusionstherapie und Transfusionsmedizin.	S. Karger	Karger	http://content.karger.com/ProdukteDB/produkte.asp?Aktion=BackIssues&ProduktNr=224170	9209406	Infusionsther Transfusionsmed	Blood Transfusion	Deutsche Gesellschaft für Transfusionsmedizin und Immunhämatologie	ger	Switzerland
NLM	1018-2438	1423-0097	1018-2438	International archives of allergy and immunology.	S. Karger	Karger	http://www.karger.com/iaa	9211652	Int Arch Allergy Immunol	Allergy and Immunology|Hypersensitivity		eng	Switzerland
NLM	1018-1172	1423-0135	1018-1172	Journal of vascular research.	S. Karger	Karger	http://www.karger.com/jvr	9206092	J Vasc Res	Blood Vessels|Cardiovascular System|Lymphatic System		eng	Switzerland
NLM	1018-8916		1018-8916	Natural immunity.	S. Karger	Karger		9206126	Nat Immun	Immunity, Innate		eng	Switzerland
NLM	1015-8987	1421-9778	1015-8987	Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology.	S. Karger	Karger	http://www.karger.com/cpb	9113221	Cell Physiol Biochem	Cell Physiological Phenomena		eng	Switzerland
NLM	1015-9770	1421-9786	1015-9770	Cerebrovascular diseases.	Karger	Karger	http://www.karger.com/ced	9100851	Cerebrovasc Dis	Cerebrovascular Disorders		eng	Switzerland
NLM	1013-7424		1013-7424	Dementia.	Karger	Karger		9010348	Dementia	Dementia		eng	Switzerland
NLM	1015-3837	1421-9964	1015-3837	Fetal diagnosis and therapy.	S. Karger	Karger	http://www.karger.com/fdt	9107463	Fetal Diagn Ther		International Fetal Medicine and Surgery Society	eng	Switzerland
NLM	1015-3845		1015-3845	Magnesium and trace elements.	Karger	Karger		9005667	Magnes Trace Elem		American Society for Magnesium Research	eng	Switzerland
NLM	1015-2008	1423-0291	1015-2008	Pathobiology : journal of immunopathology, molecular and cellular biology.	S. Karger	Karger	http://www.karger.com/pat	9007504	Pathobiology	Cells|Immunity|Molecular Biology|Pathology		eng	Switzerland
NLM	1016-2291	1423-0305	1016-2291	Pediatric neurosurgery.	S. Karger	Karger	http://www.karger.com/pne	9114967	Pediatr Neurosurg	Nervous System Diseases|Neurosurgery	American Society for Pediatric Neurosurgery	eng	Switzerland
NLM	1015-0145		0079-6034	Chemical immunology.	Karger	Karger		9001090	Chem Immunol	Immunity		eng	Switzerland
NLM	1012-6694		1012-6694	Child nephrology and urology.	Karger	Karger		8910177	Child Nephrol Urol	Kidney Diseases|Urologic Diseases		eng	Switzerland
NLM	1012-8204		1012-8204	Complement and inflammation.	Karger	Karger		8903074	Complement Inflamm	Complement System Proteins|Inflammation		eng	Switzerland
NLM	1013-9982		1013-9982	Cytokines.	Karger	Karger		8912908	Cytokines	Biological Factors		eng	Switzerland
NLM	1011-6125	1423-0372	1011-6125	Stereotactic and functional neurosurgery.	Karger	Karger	http://www.karger.com/sfn	8902881	Stereotact Funct Neurosurg	Neurosurgical Procedures|Stereotaxic Techniques	World Society for Stereotactic and Functional Neurosurgery	eng	Switzerland
NLM	1011-6974		1011-6974	Beiträge zur Infusionstherapie = Contributions to infusion therapy.	Karger	Karger		8812367	Beitr Infusionsther	Blood Transfusion|Infusions, Parenteral		ger	Switzerland
NLM	1012-5655		1012-5655	Bildgebung = Imaging.	Karger	Karger		8904648	Bildgebung	Diagnostic Imaging		ger	Switzerland
NLM	1011-6966		1011-6966	Infusionstherapie : offizielles Organ der Deutschen Arbeitsgemeinschaft für Künstliche Ernährung (DAKE) ; offizielles Organ der Österreichischen Arbeitsgemeinschaft für Klinische Ernähru (AKE) ; offizielles Organ der Deutschen Gesellschaft für Transfusionsmedizin und Immunhämatologie.	Karger	Karger		9001943	Infusionstherapie	Blood Transfusion|Infusions, Parenteral|Parenteral Nutrition	Deutsche Arbeitsgemeinschaft für Künstliche Ernährung	ger	Switzerland
NLM	1011-7571	1423-0151	1011-7571	Medical principles and practice : international journal of the Kuwait University, Health Science Centre.	Karger	Karger	http://www.karger.com/mpp	8901334	Med Princ Pract	Medicine	Jāmi'at al-Kuwayt. Health Science Centre	eng	Switzerland
NLM	1010-5662		1010-5662	Neurofibromatosis.	Karger	Karger		8807525	Neurofibromatosis	Neurofibromatosis 1		eng	Switzerland
NLM	1011-6524		1011-6524	Renal physiology and biochemistry.	Karger	Karger		8906670	Ren Physiol Biochem			eng	Switzerland
NLM	1011-0283		1011-0283	Skin pharmacology : the official journal of the Skin Pharmacology Society.	Karger	Karger		8810069	Skin Pharmacol		Skin Pharmacology Society	eng	Switzerland
NLM	0258-0330		0258-0330	Current studies in hematology and blood transfusion.	Karger	Karger		8600673	Curr Stud Hematol Blood Transfus	Blood Transfusion|Hematology		eng	Switzerland
NLM	0257-2753	1421-9875	0257-2753	Digestive diseases.	S. Karger	Karger	http://www.karger.com/ddi	8701186	Dig Dis	Digestive System Diseases		eng	Switzerland
NLM	0257-2788		0257-2788	Fetal therapy.	Karger	Karger		8700083	Fetal Ther		International Fetal Medicine and Surgery Society	eng	Switzerland
NLM	0257-2761		0257-2761	Pathology and immunopathology research.	Karger	Karger		8708069	Pathol Immunopathol Res	Pathology		eng	Switzerland
NLM	0255-7983		0255-7983	Concepts in immunopathology.	Karger	Karger		8412469	Concepts Immunopathol	Allergy and Immunology|Pathology		eng	Switzerland
NLM	0255-3910		0080-1453	Pain and headache.	Karger	Karger		8410364	Pain Headache	Headache|Pain		eng	Switzerland
NLM	0255-7975		0255-7975	Pediatric neuroscience.	Karger	Karger		8601677	Pediatr Neurosci	Nervous System Diseases|Neurosciences		eng	Switzerland
NLM	0300-1245		0300-1245	Pediatrician.	Karger	Karger		8511837	Pediatrician	Pediatrics		eng	Switzerland
NLM	0255-3686		0255-3686	Progress in veterinary microbiology and immunology.	Karger	Karger		8410145	Prog Vet Microbiol Immunol			eng	Switzerland
NLM	0254-0819		0254-0819	Acute care.	S. Karger	Karger		8412026	Acute Care	Critical Care|Monitoring, Physiologic	International Society on Biotelemetry	eng	Switzerland
NLM	0253-5076		0253-5076	Complement.	Karger	Karger		8409977	Complement	Complement System Proteins		eng	Switzerland
NLM	0254-881X		0254-881X	Diagnostic imaging in clinical medicine.	Karger	Karger		8400594	Diagn Imaging Clin Med	Radiography|Radionuclide Imaging|Thermography|Ultrasonography	Nederlandse Vereniging voor Radiodiagnostiek	eng	Switzerland
NLM	0253-4886	1421-9883	0253-4886	Digestive surgery.	S. Karger	Karger	http://www.karger.com/dsu	8501808	Dig Surg	Digestive System Surgical Procedures	Collegium Internationale Chirurgiae Digestivae	eng	Switzerland
NLM	0254-9670		0254-9670	Experimental and clinical immunogenetics.	Karger	Karger	http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9948	8411714	Exp Clin Immunogenet	Immunogenetics		eng	Switzerland
NLM	0254-5020	1662-2812	0076-6070	Medicine and sport science.	Karger	Karger	http://www.karger.com/mspsc	8402440	Med Sport Sci	Sports Medicine		eng	Switzerland
NLM	0254-7600		0254-7600	Natural immunity and cell growth regulation.	Karger	Karger		8407979	Nat Immun Cell Growth Regul	Cell Differentiation|Immunity, Innate		eng	Switzerland
NLM	0254-4962	1423-033X	0254-4962	Psychopathology.	S. Karger	Karger	http://www.karger.com/psp	8401537	Psychopathology	Psychopathology		eng	Switzerland
NLM	0252-1172		0252-1172	Applied pathology.	Karger	Karger		8308921	Appl Pathol	Pathology	International Academy of Pathology. Italian Division	eng	Switzerland
NLM	0253-5068	1421-9735	0253-5068	Blood purification.	S. Karger	Karger	http://www.karger.com/bpu	8402040	Blood Purif	Hematology|Renal Dialysis|Ultrafiltration	International Society of Hemofiltration	eng	Switzerland
NLM	0253-438X		0253-438X	Survey and synthesis of pathology research.	Karger	Karger		8303576	Surv Synth Pathol Res	Pathology|Research		eng	Switzerland
NLM	0167-6865		0167-6865	International journal of microcirculation, clinical and experimental	S. Karger	Karger		8400122	Int J Microcirc Clin Exp	Microcirculation	European Society for Microcirculation	eng	Switzerland
NLM	0252-1156		0252-1156	Magnesium.	Karger	Karger		8219687	Magnesium	Magnesium	Société pour le développement des recherches sur le magnesium	eng	Switzerland
NLM	0251-5350	1423-0208	0251-5350	Neuroepidemiology.	S. Karger	Karger	http://www.karger.com/ned	8218700	Neuroepidemiology		World Federation of Neurology. Research Committee on Neuroepidemiology	eng	Switzerland
NLM	0252-9564		0252-9564	Survey of immunologic research.	Karger	Karger		8215669	Surv Immunol Res	Allergy and Immunology		eng	Switzerland
NLM	0256-2308		0256-2308	The Year in immunology.	Karger	Karger		8403229	Year Immunol	Allergy and Immunology		eng	Switzerland
NLM	0250-8095	1421-9670	0250-8095	American journal of nephrology.	Karger	Karger	http://www.karger.com/ajn	8109361	Am J Nephrol	Nephrology		eng	Switzerland
NLM	0250-6807	1421-9697	0250-6807	Annals of nutrition & metabolism.	Karger	Karger	http://www.karger.com/anm	8105511	Ann Nutr Metab	Dietetics|Metabolic Diseases|Nutritional Physiological Phenomena		eng	Switzerland
NLM	0250-3751	1662-2790	0250-3751	Developments in ophthalmology.	Karger	Karger	http://www.karger.com/deoph	8010321	Dev Ophthalmol	Ophthalmology		eng	Switzerland
NLM	0251-1789		0251-1789	Invasion & metastasis.	Karger	Karger	http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0119	8202435	Invasion Metastasis	Neoplasm Invasiveness|Neoplasm Metastasis		eng	Switzerland
NLM	0250-6793		0250-6793	Stem cells.	Karger	Karger		8110002	Stem Cells	Cell Differentiation|Cell Division|Hematopoietic Stem Cells		eng	Switzerland
NLM	0379-8305		0379-8305	Developmental pharmacology and therapeutics.	Karger	Karger		8003947	Dev Pharmacol Ther	Drug Therapy		eng	Switzerland
NLM	0377-3574		0377-3574	Contributions to epidemiology and biostatistics.	Karger	Karger		7807252	Contrib Epidemiol Biostat	Epidemiology|Vital Statistics		eng	Switzerland
NLM	0378-9837		0378-9837	Diagnostic imaging.	Karger	Karger		7908105	Diagn Imaging	Radiography|Radionuclide Imaging|Thermography|Ultrasonography	Nederlandse Vereniging voor Radiodiagnostiek	eng	Switzerland
NLM	0378-9845		0378-9845	Health communications and informatics.	Karger	Karger		7904272	Health Commun Informatics	Communication|Computers|Delivery of Health Care|Information Theory|Medicine|Research		eng	Switzerland
NLM	0378-8679		0378-8679	Beiträge zu Infusionstherapie und klinische Ernährung.	Karger	Karger		7905962	Beitr Infusionther Klin Ernahr	Blood Transfusion|Diet Therapy|Infusions, Parenteral|Parenteral Nutrition		eng	Switzerland
NLM	0378-309X		0378-309X	Biotelemetry and patient monitoring.	Karger	Karger		7805924	Biotelem Patient Monit	Monitoring, Physiologic|Telemetry	International Society on Biotelemetry	eng	Switzerland
NLM	0378-5866	1421-9859	0378-5866	Developmental neuroscience.	Karger	Karger	http://www.karger.com/dne	7809375	Dev Neurosci	Neurology		eng	Switzerland
NLM	0378-7346	1423-002X	0378-7346	Gynecologic and obstetric investigation.	Karger	Karger	http://www.karger.com/goi	7900587	Gynecol Obstet Invest	Gynecology|Obstetrics|Reproduction		eng	Switzerland
NLM	0378-0392		0378-0392	Mineral and electrolyte metabolism.	Karger	Karger		7802196	Miner Electrolyte Metab			eng	Switzerland
NLM	0378-584X	1423-0240	0378-584X	Onkologie.	Karger	Karger	http://www.karger.com/onk	7808556	Onkologie	Neoplasms		ger	Switzerland
NLM	0378-5858		0378-5858	Renal physiology.	Karger	Karger		7901911	Ren Physiol			eng	Switzerland
NLM	0304-4246		0304-4246	Contributions to gynecology and obstetrics.	Karger	Karger		7702984	Contrib Gynecol Obstet	Gynecology|Obstetrics		eng	Switzerland
NLM	0304-3568		0304-3568	Experimental cell biology.	Karger	Karger		7701827	Exp Cell Biol	Allergy and Immunology|Cell Biology|Microbiology|Pathology		eng	Switzerland
NLM	0304-324X	1423-0003	0304-324X	Gerontology.	Karger	Karger	http://www.karger.com/ger	7601655	Gerontology	Geriatrics		eng	Switzerland
NLM	0302-2773			Applied neurophysiology.	Karger	Karger		7600656	Appl Neurophysiol	Neurophysiology|Neurosurgery	World Society for Stereotactic and Functional Neurosurgery	eng	Switzerland
NLM	0302-2803		0302-2803	Child's brain.	Karger	Karger		7505428	Childs Brain	Brain Diseases|Neurosurgery	International Society for Paediatric Neurosurgery	eng	Switzerland
NLM	0302-5144	1662-2782	0302-5144	Contributions to nephrology.	Karger	Karger	http://www.karger.com/conep	7513582	Contrib Nephrol	Kidney Diseases|Kidney		eng	Switzerland
NLM	0302-0665	1662-3754	0302-0665	Frontiers of gastrointestinal research.	Karger	Karger		7510219	Front Gastrointest Res	Gastroenterology|Research		eng	Switzerland
NLM	0379-4938		0379-4938	Infusionstherapie und klinische Ernährung. Sonderheft.	Karger	Karger		7705430	Infusionsther Klin Ernahr Sonderh	Blood Transfusion|Diet Therapy|Infusions, Parenteral|Parenteral Nutrition		eng	Switzerland
NLM	0378-0791		0378-0791	Infusionstherapie und klinische Ernährung.	Karger	Karger		7613112	Infusionsther Klin Ernahr	Blood Transfusion|Diet Therapy|Infusions, Parenteral|Parenteral Nutrition		eng	Switzerland
NLM	0302-282X	1423-0224	0302-282X	Neuropsychobiology.	Karger	Karger	http://www.karger.com/nps	7512895	Neuropsychobiology	Neurology|Psychiatry|Research		eng	Switzerland
NLM	0376-6748		0376-6748	Radiologia clinica.	Karger	Karger		7513002	Radiol Clin (Basel)	Radiology|Radiotherapy	Nederlandse Vereniging voor Radiologie	eng	Switzerland
NLM	0301-5912		0301-5912	Biotelemetry.	Karger	Karger		0430774	Biotelemetry	Biometry|Monitoring, Physiologic|Telemetry	International Society on Biotelemetry	eng	Switzerland
NLM	0303-6847		0303-6847	Blood vessels.	Karger	Karger		0427130	Blood Vessels	Blood Vessels|Lymphatic System		eng	Switzerland
NLM	0301-4231		0301-4231	Contributions to primatology.	Karger	Karger		0420475	Contrib Primatol	Primates		eng	Switzerland
NLM	0301-5149		0301-5149	Developments in biological standardization.	Karger	Karger		0427140	Dev Biol Stand	Allergy and Immunology|Biological Agents|Microbiology|Vaccines	International Association of Biological Standardization	eng	Switzerland
NLM	0301-536X		0301-536X	Frontiers of oral physiology.	Karger	Karger		0425735	Front Oral Physiol			eng	Switzerland
NLM	0302-2811		0302-2811	Mental health and society.	Karger	Karger		7502128	Ment Health Soc	Community Psychiatry|Mental Health|Psychology, Social		eng	Switzerland
NLM	0301-3081		0301-3081	Contributions to microbiology and immunology.	Karger	Karger		0401476	Contrib Microbiol Immunol	Allergy and Immunology|Microbiology		eng	Switzerland
NLM	0301-0171		0301-0171	Cytogenetics and cell genetics.	Karger	Karger	http://www.karger.com/CGR	0367735	Cytogenet Cell Genet	Cytogenetics		eng	Switzerland
NLM	0301-0163	1423-0046	0301-0163	Hormone research.	Karger	Karger	http://www.karger.com/hrp	0366126	Horm Res	Endocrinology	European Association of Endocrinology	eng	Switzerland
NLM	0301-3243			Die Infusionstherapie.	Karger	Karger		7613113	Infusionstherapie	Blood Transfusion|Infusions, Parenteral|Parenteral Nutrition		eng	Germany
NLM	0300-5526	1423-0100	0300-5526	Intervirology.	Karger	Karger	http://www.karger.com/int	0364265	Intervirology	Virology	International Association of Microbiological Societies. Virology Section	eng	Switzerland
NLM	0300-5186		0300-5186	Monographs in neural sciences.	Karger	Karger		0357002	Monogr Neural Sci			eng	Switzerland
NLM	0300-1245		0300-1245	Paediatrician.	Karger	Karger		0352330	Paediatrician	Pediatrics	International College of Pediatrics	eng	Switzerland
NLM	0091-2921		0091-2921	Perspectives in pediatric pathology.	Karger	Karger		0366560	Perspect Pediatr Pathol	Pathology|Pediatrics		eng	Switzerland
NLM	0065-3500		0065-3500	Advances in tuberculosis research. Fortschritte der Tuberkuloseforschung. Progrès de l'exploration de la tuberculose.	Karger	Karger		0347575	Adv Tuberc Res	Tuberculosis		eng	Switzerland
NLM	0301-3073	1662-3762	0301-3073	Frontiers of hormone research.	Karger	Karger	http://www.karger.com/fhore	0320246	Front Horm Res	Hormones|Research		eng	Switzerland
NLM	0301-0147		0301-0147	Haemostasis.	Karger	Karger	http://www.karger.com/pht	0371574	Haemostasis	Hemostasis|Thrombosis		eng	Switzerland
NLM	0303-884X		0303-884X	Modern problems in paediatrics.	Karger	Karger		7502628	Mod Probl Paediatr	Pediatrics		eng	Switzerland
NLM	0301-1569	1423-0275	0301-1569	ORL; journal for oto-rhino-laryngology and its related specialties.	Karger	Karger	http://www.karger.com/orl	0334721	ORL J Otorhinolaryngol Relat Spec	Otolaryngology	Gesellschaft Schweizerischer Hals-, Nasen- und Ohrenärzte	eng	Switzerland
NLM	0091-7559		0091-7559	Progress in nuclear medicine.	Karger	Karger		0322202	Prog Nucl Med	Nuclear Medicine		eng	Switzerland
NLM	0300-0621		0300-0621	Steroids and lipids research.	Karger	Karger		0350520	Steroids Lipids Res	Lipids|Steroids		eng	Switzerland
NLM	0066-4758	1662-2863	0066-4758	Antibiotics and chemotherapy.	Karger	Karger	http://www.karger.com/anche	1305576	Antibiot Chemother	Anti-Bacterial Agents|Drug Therapy		eng	Switzerland
NLM	0013-9432		0013-9432	Enzyme.	Karger	Karger		1262265	Enzyme		International Society for Clinical Enzymology	eng	Switzerland
NLM	0065-2997		0065-2997	Fortschritte der Geburtshilfe und Gynäkologie.	Karger	Karger		7609286	Fortschr Geburtshilfe Gynakol	Gynecology|Obstetrics		eng	Switzerland
NLM	0077-0078		0077-0078	Modern problems in ophthalmology.	Karger	Karger		1270475	Mod Probl Ophthalmol	Ophthalmology		eng	Switzerland
NLM	0077-0892	1662-3843	0077-0892	Monographs in oral science.	Karger	Karger	http://www.karger.com/moors	0327545	Monogr Oral Sci	Mouth Diseases|Oral Health		eng	Switzerland
NLM	0077-0914		0077-0914	Monographs in paediatrics.	Karger	Karger		1264740	Monogr Paediatr	Pediatrics		eng	Switzerland
NLM	0065-2326	1662-2839	0065-2326	Advances in cardiology.	Karger	Karger	http://www.karger.com/adcar	0270063	Adv Cardiol	Cardiology		eng	Switzerland
NLM	0067-8147		0067-8147	Bibliotheca psychiatrica.	Karger	Karger		0255452	Bibl Psychiatr	Psychiatry		eng	Switzerland
NLM	0006-3126	1421-9727	0006-3126	Biology of the neonate.	Karger	Karger	http://content.karger.com/ProdukteDB/produkte.asp?Aktion=BackIssues&ProduktNr=224215&ContentOnly=false	0247551	Biol Neonate	Fetus|Infant, Newborn		eng	Switzerland
NLM	0008-6312	1421-9751	0008-6312	Cardiology.	Karger	Karger	http://www.karger.com/crd	1266406	Cardiology	Cardiology		eng	Switzerland
NLM	0017-5986		0017-5986	Gynecologic investigation.	Karger	Karger		0245073	Gynecol Invest	Reproduction	Society for Gynecologic Investigation	eng	Switzerland
NLM	0018-5051		0018-5051	Hormones.	Karger	Karger		0366127	Hormones	Endocrinology	European Association of Endocrinology	eng	Switzerland
NLM	0029-6678		0029-6678	Nutrition and metabolism.	Karger	Karger		0330472	Nutr Metab	Diet|Metabolic Diseases|Nutritional Physiological Phenomena		eng	Switzerland
NLM	0030-3747	1423-0259	0030-3747	Ophthalmic research.	Karger	Karger	http://www.karger.com/ore	0267442	Ophthalmic Res	Ophthalmology|Research		eng	Switzerland
NLM	0049-2221		0049-2221	Steroidologia.	Karger	Karger		0350154	Steroidologia	Steroids		eng	Switzerland
NLM	0065-3004		0065-3004	Advances in ophthalmology = Fortschritte der Augenheilkunde = Progrès en ophtalmologie.	Karger	Karger		0263212	Adv Ophthalmol	Ophthalmology		eng	Switzerland
NLM	0065-3071	1662-2847	0065-3071	Advances in oto-rhino-laryngology.	Karger	Karger	http://www.karger.com/adorl	0242534	Adv Otorhinolaryngol	Otolaryngology		eng	Switzerland
NLM	0014-312X	1421-9921	0014-312X	European surgical research. Europäische chirurgische Forschung. Recherches chirurgicales européennes.	Karger	Karger	http://content.karger.com/ProdukteDB/produkte.asp?Aktion=BackIssues&ProduktNr=223841&ContentOnly=true	0174752	Eur Surg Res	General Surgery|Research	European Society for Experimental Surgery	eng	Switzerland
NLM	0001-5652	1423-0062	0001-5652	Human heredity.	Karger	Karger	http://www.karger.com/hhe	0200525	Hum Hered	Genetics, Medical		eng	Switzerland
NLM	0077-0809	1662-3827	0077-0809	Monographs in clinical cytology.	Karger	Karger	http://www.karger.com/moclc	0370161	Monogr Clin Cytol	Cell Biology		eng	Switzerland
NLM	0077-0825		0077-0825	Monographs in developmental biology.	Karger	Karger		0207715	Monogr Dev Biol	Biology|Growth		eng	Switzerland
NLM	0077-099X		0077-099X	Monographs on atherosclerosis.	Karger	Karger		0362400	Monogr Atheroscler	Arteriosclerosis		eng	Switzerland
NLM	0006-8977	1421-9743	0006-8977	Brain, behavior and evolution.	Karger	Karger	http://content.karger.com/ProdukteDB/produkte.asp?Aktion=BackIssues&ProduktNr=223831&ContentOnly=false	0151620	Brain Behav Evol	Behavior|Biological Evolution|Neurophysiology		eng	Switzerland
NLM	0009-3157	1421-9794	0009-3157	Chemotherapy.	Karger	Karger	http://www.karger.com/che	0144731	Chemotherapy	Drug Therapy|Pharmacology	International Society of Chemotherapy	eng	Switzerland
NLM	1421-5721	1662-2944	1421-5721	Current problems in dermatology.	Karger	Karger	http://www.karger.com/cupde	0147371	Curr Probl Dermatol	Dermatology		eng	Switzerland
NLM	0012-2823	1421-9867	0012-2823	Digestion.	Karger	Karger	http://www.karger.com/dig	0150472	Digestion	Gastroenterology		eng	Switzerland
NLM	0014-3022	1421-9913	0014-3022	European neurology.	Karger	Karger	http://www.karger.com/ene	0150760	Eur Neurol	Neurology		eng	Switzerland
NLM	0071-9676	1662-3789	0071-9676	Frontiers of radiation therapy and oncology.	Karger	Karger	http://www.karger.com/frato	0125544	Front Radiat Ther Oncol	Neoplasms|Radiotherapy		eng	Switzerland
NLM	0074-1132	1662-3800	0074-1132	Interdisciplinary topics in gerontology.	Karger	Karger	http://www.karger.com/itoge	0135125	Interdiscip Top Gerontol	Geriatrics		eng	Switzerland
NLM	0020-8272		0020-8272	International pharmacopsychiatry.	Karger	Karger		0135645	Int Pharmacopsychiatry	Psychopharmacology		eng	Switzerland
NLM	0077-0094		0077-0094	Modern problems of pharmacopsychiatry.	Karger	Karger		0425142	Mod Probl Pharmacopsychiatry	Psychopharmacology		eng	Switzerland
NLM	0077-0965		0077-0965	Monographs in virology.	Karger	Karger		0124434	Monogr Virol	Virology		eng	Switzerland
NLM	0031-7012	1423-0313	0031-7012	Pharmacology.	Karger	Karger	http://www.karger.com/pha	0152016	Pharmacology	Pharmacology		eng	Switzerland
NLM	0079-5119		0079-5119	Primates in medicine.	Karger	Karger		0127433	Primates Med	Primates|Research		eng	Switzerland
NLM	0033-264X		0033-264X	Psychiatria clinica.	Karger	Karger		0150761	Psychiatr Clin (Basel)	Psychiatry		eng	Switzerland
NLM	0080-0260		0080-0260	Reconstruction surgery and traumatology.	Karger	Karger		0136516	Reconstr Surg Traumatol	General Surgery|Surgery, Plastic		eng	Switzerland
NLM	0025-7931	1423-0356	0025-7931	Respiration; international review of thoracic diseases.	Karger	Karger	http://www.karger.com/res	0137356	Respiration	Respiration|Thoracic Diseases		eng	Switzerland
NLM	0065-3268	1662-2855	0065-3268	Advances in psychosomatic medicine.	Karger	Karger	http://www.karger.com/adpsy	0101303	Adv Psychosom Med	Psychosomatic Medicine		eng	Switzerland
NLM	0008-6568	1421-976X	0008-6568	Caries research.	Karger	Karger	http://www.karger.com/cre	0103374	Caries Res	Cariostatic Agents|Dental Caries	European Organization for Caries Research	eng	Switzerland
NLM	0071-3384		0071-3384	Experimental biology and medicine.	Karger	Karger		0114060	Exp Biol Med	Biology|Medicine		eng	Switzerland
NLM	0030-2414	1423-0232	0030-2414	Oncology.	Karger	Karger	http://www.karger.com/ocl	0135054	Oncology	Neoplasms		eng	Switzerland
NLM	0080-1453		0080-1453	Research and clinical studies in headache.	Karger	Karger		0114314	Res Clin Stud Headache	Headache		eng	Switzerland
NLM	0080-2727		0080-2727	Rheumatology.	Karger	Karger		0173721	Rheumatology	Arthritis|Rheumatic Diseases		eng	Switzerland
NLM	0076-681X		0076-681X	Methods and achievements in experimental pathology.	Karger	Karger		0204174	Methods Achiev Exp Pathol	Pathology		eng	Switzerland
NLM	0077-0760		0077-0760	Monographs in allergy.	Karger	Karger		0077707	Monogr Allergy	Hypersensitivity		eng	Switzerland
NLM	0077-0876		0077-0876	Monographs in human genetics.	Karger	Karger		7600568	Monogr Hum Genet	Genetics, Medical		eng	Switzerland
NLM	0079-6492	1662-3924	0079-6492	Progress in neurological surgery.	Karger	Karger	http://www.karger.com/prnes	0076033	Prog Neurol Surg	Neurosurgery		eng	Switzerland
NLM	0018-716X	1423-0054	0018-716X	Human development.	Karger	Karger	http://www.karger.com/hde	0012445	Hum Dev	Growth|Physiology|Psychology		eng	Switzerland
NLM	0543-3002		0543-3002	Medicina et pharmacologia experimentalis. International journal of experimental medicine.	Karger	Karger		0152106	Med Pharmacol Exp Int J Exp Med	Pharmacology|Research		eng	Switzerland
NLM	0028-3835	1423-0194	0028-3835	Neuroendocrinology.	Karger	Karger	http://www.karger.com/nen	0035665	Neuroendocrinology	Endocrinology|Neurology		eng	Switzerland
NLM	0033-3190	1423-0348	0033-3190	Psychotherapy and psychosomatics.	Karger	Karger	http://www.karger.com/pps	0024046	Psychother Psychosom	Psychosomatic Medicine|Psychotherapy	International Federation for Medical Psychotherapy	eng	Switzerland
NLM	0033-8346		0033-8346	Radiologia clinica et biologica.	Karger	Karger		7513001	Radiol Clin Biol	Radiology|Radiotherapy	Nederlandse Vereniging voor Revalidatie	mul	Switzerland
NLM	0003-3189		0003-3189	Angiologica.	Karger	Karger		0427125	Angiologica	Blood Vessels|Lymphatic System		eng	Switzerland
NLM	0017-6001		0017-6001	Gynäkologische Rundschau.	Karger	Karger		0011363	Gynakol Rundsch	Gynecology	Schweizerische Gesellschaft für Gynäkologie	ger	Switzerland
NLM	0028-2766	1423-0186	0028-2766	Nephron.	Karger	Karger	http://content.karger.com/ProdukteDB/produkte.asp?Aktion=JournalHome&ProduktNr=223854	0331777	Nephron	Kidney Diseases	International Society of Nephrology	eng	Switzerland
NLM	0031-2975		0031-2975	Pathologia veterinaria.	Karger	Karger		0311355	Pathol Vet	Pathology, Veterinary	American College of Veterinary Pathologists	eng	Switzerland
NLM	0011-4537		0011-4537	Cytogenetics.	Karger	Karger		0367734	Cytogenetics	Cytogenetics		eng	Switzerland
NLM	0368-9220		0368-9220	Medicina thoracalis.	Karger	Karger		0134451	Med Thorac	Thoracic Diseases	Schweizerische Gesellschaft der Lungen- und Tuberkuloseärzte	eng	Switzerland
NLM	0079-6344		0079-6344	Progress in immunobiological standardization.	Karger	Karger		0427362	Prog Immunobiol Stand	Allergy and Immunology|Microbiology|Vaccines		eng	Switzerland
NLM	0067-7833		0067-7833	Bibliotheca anatomica.	Karger	Karger		0372510	Bibl Anat	Anatomy		eng	Switzerland
