seqType	mutType	patName	pat
prot	sub	MF_MRES for WRES PPOS	{sep}{mutAaLong} for {origAaLong} {pos}
prot	sub	MF_PPOS WRES replaced by MRES	{sep}{pos} {origAaLong} replaced by {mutAaLong}
prot	sub	MF_WRES(PPOS) to MRES	{sep}{origAaLong}\({pos}\) to {mutAaLong}
prot	sub	MF_PPOS from WRES to MRES	{sep}{pos} from {origAaLong} to {mutAaLong}
prot	sub	MF_PPOS (WRES to MRES	{sep}{pos} \({origAaLong} to {mutAaLong}
prot	sub	MF_WRESPPOS-to-MRES	{sep}{origAaLong}{pos}-to-{mutAaLong}
prot	sub	MF_MRES to WRES substitution at position PPOS	{sep}{mutAaLong} to {origAaLong} substitution at position {pos}
prot	sub	MF_PPOS WRES to MRES	{sep}{pos} {origAaLong} to {mutAaLong}
prot	sub	MF_WRES PPOS----MRES	{sep}{origAaLong} {pos}----{mutAaLong}
prot	sub	MF_WRES by MRES at position PPOS	{sep}{origAaLong} by {mutAaLong} at position {pos}
prot	sub	MF_WRESPPOS]-MRES	{sep}{origAaLong}{pos}\]-{mutAaLong}
prot	sub	MF_WRES for MRES at residue PPOS	{sep}{origAaLong} for {mutAaLong} at residue {pos}
prot	sub	MF_PPOS (WRES-->MRES	{sep}{pos} \({origAaLong}-->{mutAaLong}
prot	sub	MF_PPOS(bPOS)WRES-->MRES	{sep}{pos}\(b([1-9][0-9]*)\){origAaLong}-->{mutAaLong}
prot	sub	MF_PPOS(hPOS)WRES-->MRES	{sep}{pos}\(h([1-9][0-9]*)\){origAaLong}-->{mutAaLong}
prot	sub	MF_PPOS(gPOS)WRES-->MRES	{sep}{pos}\(g([1-9][0-9]*)\){origAaLong}-->{mutAaLong}
