seqType	mutType	patName	pat
prot	sub	MF_WRES-PPOS was replaced by MRES	{sep}{origAaLong}-{pos} was replaced by {mutAaLong}
prot	sub	MF_WRES(PPOS) --> MRES	{sep}{origAaLong}\({pos}\) --> {mutAaLong}
prot	sub	MF_PPOS WRES --> MRES	{sep}{pos} {origAaLong} --> {mutAaLong}
prot	sub	MF_WRES to MRES at codon PPOS	{sep}{origAaLong} to {mutAaLong} at codon {pos}
prot	sub	MF_WRESPPOS]MRES	{sep}{origAaLong}{pos}\]{mutAaLong}
prot	sub	MF_MRES for WRES at codon PPOS	{sep}{mutAaLong} for {origAaLong} at codon {pos}
prot	sub	MF_PPOS(aPOS)WRES-->MRES	{sep}{pos}\(a([1-9][0-9]*)\){origAaLong}-->{mutAaLong}
prot	sub	MF_WRES-to-MRES substitution at position PPOS	{sep}{origAaLong}-to-{mutAaLong} substitution at position {pos}
prot	sub	MF_WRES at position PPOS to MRES	{sep}{origAaLong} at position {pos} to {mutAaLong}
prot	sub	MF_PPOSWRES----MRES	{sep}{pos}{origAaLong}----{mutAaLong}
prot	sub	MF_PPOS(ePOS)WRES-->MRES	{sep}{pos}\(e([1-9][0-9]*)\){origAaLong}-->{mutAaLong}
prot	sub	MF_WRES-PPOS-to-MRES	{sep}{origAaLong}-{pos}-to-{mutAaLong}
prot	sub	MF_WRES at position PPOS by MRES	{sep}{origAaLong} at position {pos} by {mutAaLong}
prot	sub	MF_MRES for WRES substitution at position PPOS	{sep}{mutAaLong} for {origAaLong} substitution at position {pos}
prot	sub	MF_MRES for WRES at amino acid PPOS	{sep}{mutAaLong} for {origAaLong} at amino acid {pos}
prot	sub	MF_PPOS (WRES----MRES	{sep}{pos} \({origAaLong}----{mutAaLong}
prot	sub	MF_WRES to MRES substitution at residue PPOS	{sep}{origAaLong} to {mutAaLong} substitution at residue {pos}
prot	sub	MF_WRESPPOS with RES or MRES	{sep}{origAaLong}{pos} with {skipAa} or {mutAaLong}
prot	sub	MF_WRESPPOS was replaced by MRES	{sep}{origAaLong}{pos} was replaced by {mutAaLong}
prot	sub	MF_WRESPPOS and RESPOS with MRES	{sep}{origAaLong}{pos} and {skipAa}([1-9][0-9]*) with {mutAaLong}
prot	sub	MF_WRESPPOS and RESPOS to MRES	{sep}{origAaLong}{pos} and {skipAa}([1-9][0-9]*) to {mutAaLong}
prot	sub	MF_WRES-PPOS with RES or MRES	{sep}{origAaLong}-{pos} with {skipAa} or {mutAaLong}
prot	sub	MF_PPOS(bPOS)WRES----MRES	{sep}{pos}\(b([1-9][0-9]*)\){origAaLong}----{mutAaLong}
prot	sub	MF_WRES-PPOS with a MRES	{sep}{origAaLong}-{pos} with (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRES-PPOS to RES or MRES	{sep}{origAaLong}-{pos} to {skipAa} or {mutAaLong}
prot	sub	MF_WRES(PPOS) with MRES	{sep}{origAaLong}\({pos}\) with {mutAaLong}
prot	sub	MF_PPOSWRES --> MRES	{sep}{pos}{origAaLong} --> {mutAaLong}
prot	sub	MF_PPOS(ePOS)WRES----MRES	{sep}{pos}\(e([1-9][0-9]*)\){origAaLong}----{mutAaLong}
prot	sub	MF_WRESPPOS is replaced by MRES	{sep}{origAaLong}{pos} is replaced by {mutAaLong}
prot	sub	MF_WRES to MRES substitution at codon PPOS	{sep}{origAaLong} to {mutAaLong} substitution at codon {pos}
prot	sub	MF_WRES to MRES mutation at position PPOS	{sep}{origAaLong} to {mutAaLong} mutation at position {pos}
prot	sub	MF_WRES to MRES at residue PPOS	{sep}{origAaLong} to {mutAaLong} at residue {pos}
prot	sub	MF_PPOS(ghPOS)WRES-->MRES	{sep}{pos}\(gh([1-9][0-9]*)\){origAaLong}-->{mutAaLong}
prot	sub	MF_WRES with MRES at position PPOS	{sep}{origAaLong} with {mutAaLong} at position {pos}
prot	sub	MF_WRES PPOS --> MRES	{sep}{origAaLong} {pos} --> {mutAaLong}
prot	sub	MF_PPOSWRES to MRES	{sep}{pos}{origAaLong} to {mutAaLong}
prot	sub	MF_PPOS(hPOS)WRES----MRES	{sep}{pos}\(h([1-9][0-9]*)\){origAaLong}----{mutAaLong}
prot	sub	MF_PPOS (bPOS) WRES replaced by MRES	{sep}{pos} \(b([1-9][0-9]*)\) {origAaLong} replaced by {mutAaLong}
prot	sub	MF_WRESPPOS into MRES	{sep}{origAaLong}{pos} into {mutAaLong}
prot	sub	MF_WRES-for-MRES substitution at position PPOS	{sep}{origAaLong}-for-{mutAaLong} substitution at position {pos}
prot	sub	MF_WRES-PPOS and RES-POS to MRES	{sep}{origAaLong}-{pos} and {skipAa}-([1-9][0-9]*) to {mutAaLong}
prot	sub	MF_WRES to MRES substitution at amino acid PPOS	{sep}{origAaLong} to {mutAaLong} substitution at amino acid {pos}
prot	sub	MF_WRES at position PPOS with MRES	{sep}{origAaLong} at position {pos} with {mutAaLong}
prot	sub	MF_WRES PPOS for MRES	{sep}{origAaLong} {pos} for {mutAaLong}
prot	sub	MF_PPOS(fPOS)WRES-->MRES	{sep}{pos}\(f([1-9][0-9]*)\){origAaLong}-->{mutAaLong}
prot	sub	MF_WRESPPOS to RES or MRES	{sep}{origAaLong}{pos} to {skipAa} or {mutAaLong}
prot	sub	MF_WRES PPOS to a MRES	{sep}{origAaLong} {pos} to (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRESPPOS was mutated to MRES	{sep}{origAaLong}{pos} was mutated to {mutAaLong}
prot	sub	MF_WRESPPOS by a MRES	{sep}{origAaLong}{pos} by (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRES-PPOS by RES or MRES	{sep}{origAaLong}-{pos} by {skipAa} or {mutAaLong}
prot	sub	MF_WRES-->MRES at position PPOS	{sep}{origAaLong}-->{mutAaLong} at position {pos}
prot	sub	MF_WRES(PPOS) by MRES	{sep}{origAaLong}\({pos}\) by {mutAaLong}
prot	sub	MF_MRES instead of WRES at position PPOS	{sep}{mutAaLong} instead of {origAaLong} at position {pos}
prot	sub	MF_WRES PPOS is replaced by MRES	{sep}{origAaLong} {pos} is replaced by {mutAaLong}
prot	sub	MF_PPOS WRES--MRES	{sep}{pos} {origAaLong}--{mutAaLong}
prot	sub	MF_WRESPPOS was replaced with MRES	{sep}{origAaLong}{pos} was replaced with {mutAaLong}
prot	sub	MF_WRESPPOS or RESPOS with MRES	{sep}{origAaLong}{pos} or {skipAa}([1-9][0-9]*) with {mutAaLong}
prot	sub	MF_WRESPPOS by RES or MRES	{sep}{origAaLong}{pos} by {skipAa} or {mutAaLong}
prot	sub	MF_WRES-to-MRES substitution at codon PPOS	{sep}{origAaLong}-to-{mutAaLong} substitution at codon {pos}
prot	sub	MF_WRES-PPOS for MRES	{sep}{origAaLong}-{pos} for {mutAaLong}
prot	sub	MF_WRES PPOSMRES	{sep}{origAaLong} {pos}{mutAaLong}
prot	sub	MF_WRES PPOS-to-MRES	{sep}{origAaLong} {pos}-to-{mutAaLong}
prot	sub	MF_WRESPPOS--> MRES	{sep}{origAaLong}{pos}--> {mutAaLong}
prot	sub	MF_WRESPPOS)-MRES	{sep}{origAaLong}{pos}\)-{mutAaLong}
prot	sub	MF_WRES-PPOS with either MRES or RES	{sep}{origAaLong}-{pos} with either {mutAaLong} or {skipAa}
prot	sub	MF_WRES-PPOS with either RES or MRES	{sep}{origAaLong}-{pos} with either {skipAa} or {mutAaLong}
prot	sub	MF_WRES in place of MRESPPOS	{sep}{origAaLong} in place of {mutAaLong}{pos}
prot	sub	MF_WRES for MRES(PPOS	{sep}{origAaLong} for {mutAaLong}\({pos}
prot	sub	MF_WRES for MRES at amino acid position PPOS	{sep}{origAaLong} for {mutAaLong} at amino acid position {pos}
prot	sub	MF_WRES PPOS with a MRES	{sep}{origAaLong} {pos} with (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRES PPOS by a MRES	{sep}{origAaLong} {pos} by (a|an){{0,1}} {mutAaLong}
prot	sub	MF_PPOS (hPOS) WRES replaced by MRES	{sep}{pos} \(h([1-9][0-9]*)\) {origAaLong} replaced by {mutAaLong}
prot	sub	MF_WRESPPOS for MRES	{sep}{origAaLong}{pos} for {mutAaLong}
prot	sub	MF_WRES-xPPOS-MRES	{sep}{origAaLong}-x{pos}-{mutAaLong}
prot	sub	MF_WRES-to-MRES substitution at amino acid PPOS	{sep}{origAaLong}-to-{mutAaLong} substitution at amino acid {pos}
prot	sub	MF_WRES-to-MRES change at position PPOS	{sep}{origAaLong}-to-{mutAaLong} change at position {pos}
prot	sub	MF_WRES-PPOS was replaced with MRES	{sep}{origAaLong}-{pos} was replaced with {mutAaLong}
prot	sub	MF_WRES-PPOS to a MRES	{sep}{origAaLong}-{pos} to (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRES-PPOS or RES-POS with MRES	{sep}{origAaLong}-{pos} or {skipAa}-([1-9][0-9]*) with {mutAaLong}
prot	sub	MF_WRES-->MRES substitution at position PPOS	{sep}{origAaLong}-->{mutAaLong} substitution at position {pos}
prot	sub	MF_WRES----MRES substitution at position PPOS	{sep}{origAaLong}----{mutAaLong} substitution at position {pos}
prot	sub	MF_WRES----MRES at position PPOS	{sep}{origAaLong}----{mutAaLong} at position {pos}
prot	sub	MF_WRES)PPOSMRES	{sep}{origAaLong}\){pos}{mutAaLong}
prot	sub	MF_WRES)PPOS-MRES	{sep}{origAaLong}\){pos}-{mutAaLong}
prot	sub	MF_WRES with MRES at residue PPOS	{sep}{origAaLong} with {mutAaLong} at residue {pos}
prot	sub	MF_WRES to MRES substitution at amino acid position PPOS	{sep}{origAaLong} to {mutAaLong} substitution at amino acid position {pos}
prot	sub	MF_MRES substitution for WRESPPOS	{sep}{mutAaLong} substitution for {origAaLong}{pos}
prot	sub	MF_WRES PPOS was replaced by MRES	{sep}{origAaLong} {pos} was replaced by {mutAaLong}
prot	sub	MF_WRES PPOS was mutated to MRES	{sep}{origAaLong} {pos} was mutated to {mutAaLong}
prot	sub	MF_WRES PPOS was changed to MRES	{sep}{origAaLong} {pos} was changed to {mutAaLong}
prot	sub	MF_WRES PPOS into MRES	{sep}{origAaLong} {pos} into {mutAaLong}
prot	sub	MF_WRES PPOS by RES or MRES	{sep}{origAaLong} {pos} by {skipAa} or {mutAaLong}
prot	sub	MF_PPOS(gPOS)WRES----MRES	{sep}{pos}\(g([1-9][0-9]*)\){origAaLong}----{mutAaLong}
prot	sub	MF_PPOS (ePOS) WRES replaced by MRES	{sep}{pos} \(e([1-9][0-9]*)\) {origAaLong} replaced by {mutAaLong}
prot	sub	MF_PPOS (WRES --> MRES	{sep}{pos} \({origAaLong} --> {mutAaLong}
prot	sub	MF_WRESPPOS with a MRES	{sep}{origAaLong}{pos} with (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRESPPOS or RESPOS to MRES	{sep}{origAaLong}{pos} or {skipAa}([1-9][0-9]*) to {mutAaLong}
prot	sub	MF_WRESPPOS > MRES	{sep}{origAaLong}{pos} > {mutAaLong}
prot	sub	MF_WRES-PPOS has been replaced by MRES	{sep}{origAaLong}-{pos} has been replaced by {mutAaLong}
prot	sub	MF_WRES-PPOS MRES	{sep}{origAaLong}-{pos} {mutAaLong}
prot	sub	MF_WRES(PPOS)-MRES	{sep}{origAaLong}\({pos}\)-{mutAaLong}
prot	sub	MF_WRES(PPOS)----MRES	{sep}{origAaLong}\({pos}\)----{mutAaLong}
prot	sub	MF_WRES to MRES at amino acid position PPOS	{sep}{origAaLong} to {mutAaLong} at amino acid position {pos}
prot	sub	MF_MRES for a WRES at position PPOS	{sep}{mutAaLong} for (a|an){{0,1}} {origAaLong} at position {pos}
prot	sub	MF_MRES for WRES at position PPOS	{sep}{mutAaLong} for {origAaLong} at position {pos}
prot	sub	MF_WRES by MRES at codon PPOS	{sep}{origAaLong} by {mutAaLong} at codon {pos}
prot	sub	MF_WRES PPOS was replaced with MRES	{sep}{origAaLong} {pos} was replaced with {mutAaLong}
prot	sub	MF_PPOS(cePOS)WRES-->MRES	{sep}{pos}\(ce([1-9][0-9]*)\){origAaLong}-->{mutAaLong}
prot	sub	MF_PPOS(aPOS)WRES----MRES	{sep}{pos}\(a([1-9][0-9]*)\){origAaLong}----{mutAaLong}
prot	sub	MF_PPOS WRES by MRES	{sep}{pos} {origAaLong} by {mutAaLong}
prot	sub	MF_PPOS (hPOS) WRES----MRES	{sep}{pos} \(h([1-9][0-9]*)\) {origAaLong}----{mutAaLong}
prot	sub	MF_PPOS (gPOS) WRES replaced by MRES	{sep}{pos} \(g([1-9][0-9]*)\) {origAaLong} replaced by {mutAaLong}
prot	sub	MF_WRESPPOS, with MRES	{sep}{origAaLong}{pos}, with {mutAaLong}
prot	sub	MF_WRESPPOS was replaced by RES or MRES	{sep}{origAaLong}{pos} was replaced by {skipAa} or {mutAaLong}
prot	sub	MF_WRESPPOS replaced by MRES	{sep}{origAaLong}{pos} replaced by {mutAaLong}
prot	sub	MF_WRESPPOS and RESPOS were replaced by MRES	{sep}{origAaLong}{pos} and {skipAa}([1-9][0-9]*) were replaced by {mutAaLong}
prot	sub	MF_WRESPPOS were replaced by MRES	{sep}{origAaLong}{pos} were replaced by {mutAaLong}
prot	sub	MF_WRESPPOS and RESPOS by MRES	{sep}{origAaLong}{pos} and {skipAa}([1-9][0-9]*) by {mutAaLong}
prot	sub	MF_WRES-PPOS/MRES	{sep}{origAaLong}-{pos}/{mutAaLong}
prot	sub	MF_WRES-PPOS was mutated to MRES	{sep}{origAaLong}-{pos} was mutated to {mutAaLong}
prot	sub	MF_WRES-PPOS to RES and MRES	{sep}{origAaLong}-{pos} to {skipAa} and {mutAaLong}
prot	sub	MF_WRES-PPOS is replaced by MRES	{sep}{origAaLong}-{pos} is replaced by {mutAaLong}
prot	sub	MF_WRES-PPOS into MRES	{sep}{origAaLong}-{pos} into {mutAaLong}
prot	sub	MF_WRES-PPOS by a MRES	{sep}{origAaLong}-{pos} by (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRES-PPOS and RES-POS with MRES	{sep}{origAaLong}-{pos} and {skipAa}-([1-9][0-9]*) with {mutAaLong}
prot	sub	MF_WRES-->MRESPPOS	{sep}{origAaLong}-->{mutAaLong}{pos}
prot	sub	MF_WRES----MRESPPOS	{sep}{origAaLong}----{mutAaLong}{pos}
prot	sub	MF_WRES----MRES PPOS	{sep}{origAaLong}----{mutAaLong} {pos}
prot	sub	MF_WRES(PPOS) and RES(POS) to MRES	{sep}{origAaLong}\({pos}\) and {skipAa}\(([1-9][0-9]*)\) to {mutAaLong}
prot	sub	MF_WRES to MRES change at position PPOS	{sep}{origAaLong} to {mutAaLong} change at position {pos}
prot	sub	MF_WRES to MRES change at amino acid PPOS	{sep}{origAaLong} to {mutAaLong} change at amino acid {pos}
prot	sub	MF_WRES to MRES at the PPOS	{sep}{origAaLong} to {mutAaLong} at the {pos}
prot	sub	MF_WRES to MRES at amino acid PPOS	{sep}{origAaLong} to {mutAaLong} at amino acid {pos}
prot	sub	MF_WRES to MRES at PPOS	{sep}{origAaLong} to {mutAaLong} at {pos}
prot	sub	MF_MRES substitution for WRES PPOS	{sep}{mutAaLong} substitution for {origAaLong} {pos}
prot	sub	MF_MRES in place of WRES at position PPOS	{sep}{mutAaLong} in place of {origAaLong} at position {pos}
prot	sub	MF_MRES for WRES in position PPOS	{sep}{mutAaLong} for {origAaLong} in position {pos}
prot	sub	MF_MRES for WRES at amino acid residue PPOS	{sep}{mutAaLong} for {origAaLong} at amino acid residue {pos}
prot	sub	MF_WRES by MRES in position PPOS	{sep}{origAaLong} by {mutAaLong} in position {pos}
prot	sub	MF_WRES PPOS-MRES	{sep}{origAaLong} {pos}-{mutAaLong}
prot	sub	MF_PPOSWRES replaced by MRES	{sep}{pos}{origAaLong} replaced by {mutAaLong}
prot	sub	MF_PPOS(ghPOS)WRES----MRES	{sep}{pos}\(gh([1-9][0-9]*)\){origAaLong}----{mutAaLong}
prot	sub	MF_PPOS(ePOS)WRES --> MRES	{sep}{pos}\(e([1-9][0-9]*)\){origAaLong} --> {mutAaLong}
prot	sub	MF_PPOS(cdPOS)WRES----MRES	{sep}{pos}\(cd([1-9][0-9]*)\){origAaLong}----{mutAaLong}
prot	sub	MF_PPOS(cPOS)WRES-->MRES	{sep}{pos}\(c([1-9][0-9]*)\){origAaLong}-->{mutAaLong}
prot	sub	MF_PPOS(cPOS)WRES----MRES	{sep}{pos}\(c([1-9][0-9]*)\){origAaLong}----{mutAaLong}
prot	sub	MF_PPOS(bPOS) WRES----MRES	{sep}{pos}\(b([1-9][0-9]*)\) {origAaLong}----{mutAaLong}
prot	sub	MF_PPOS WRES with MRES	{sep}{pos} {origAaLong} with {mutAaLong}
prot	sub	MF_PPOS (fPOS) WRES-->MRES	{sep}{pos} \(f([1-9][0-9]*)\) {origAaLong}-->{mutAaLong}
prot	sub	MF_PPOS (ePOS) WRES----MRES	{sep}{pos} \(e([1-9][0-9]*)\) {origAaLong}----{mutAaLong}
prot	sub	MF_WRESPPOS/MRES	{sep}{origAaLong}{pos}/{mutAaLong}
prot	sub	MF_WRESPPOS, to MRES	{sep}{origAaLong}{pos}, to {mutAaLong}
prot	sub	MF_WRESPPOS with an MRES	{sep}{origAaLong}{pos} with (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRESPPOS was substituted with MRES	{sep}{origAaLong}{pos} was substituted with {mutAaLong}
prot	sub	MF_WRESPPOS to a MRES	{sep}{origAaLong}{pos} to (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRESPPOS by an MRES	{sep}{origAaLong}{pos} by (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRES-to-MRES substitution at residue PPOS	{sep}{origAaLong}-to-{mutAaLong} substitution at residue {pos}
prot	sub	MF_WRES-to-MRES mutation at position PPOS	{sep}{origAaLong}-to-{mutAaLong} mutation at position {pos}
prot	sub	MF_WRES-PPOS with an MRES	{sep}{origAaLong}-{pos} with (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRES-PPOS to an MRES	{sep}{origAaLong}-{pos} to (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRES-PPOS by an MRES	{sep}{origAaLong}-{pos} by (a|an){{0,1}} {mutAaLong}
prot	sub	MF_WRES----MRES substitution at residue PPOS	{sep}{origAaLong}----{mutAaLong} substitution at residue {pos}
prot	sub	MF_WRES with MRES at codon PPOS	{sep}{origAaLong} with {mutAaLong} at codon {pos}
prot	sub	MF_WRES to a MRES at position PPOS	{sep}{origAaLong} to (a|an){{0,1}} {mutAaLong} at position {pos}
prot	sub	MF_WRES to MRES mutation at residue PPOS	{sep}{origAaLong} to {mutAaLong} mutation at residue {pos}
prot	sub	MF_WRES to MRES change at codon PPOS	{sep}{origAaLong} to {mutAaLong} change at codon {pos}
prot	sub	MF_MRES substitution of WRESPPOS	{sep}{mutAaLong} substitution of {origAaLong}{pos}
prot	sub	MF_MRES substitution of WRES-PPOS	{sep}{mutAaLong} substitution of {origAaLong}-{pos}
prot	sub	MF_MRES substitution for WRES-alphaPPOS-POS	{sep}{mutAaLong} substitution for {origAaLong}-alpha{pos}-([1-9][0-9]*)
prot	sub	MF_MRES substitution for WRES-alphaPOS-PPOS	{sep}{mutAaLong} substitution for {origAaLong}-alpha([1-9][0-9]*)-{pos}
prot	sub	MF_MRES substitution for WRES-PPOS	{sep}{mutAaLong} substitution for {origAaLong}-{pos}
prot	sub	MF_MRES substitution at WRES-PPOS	{sep}{mutAaLong} substitution at {origAaLong}-{pos}
prot	sub	MF_MRES substituted for WRES-PPOS	{sep}{mutAaLong} substituted for {origAaLong}-{pos}
prot	sub	MF_WRES mPPOS to MRES	{sep}{origAaLong} m{pos} to {mutAaLong}
prot	sub	MF_WRES at position PPOS with a MRES	{sep}{origAaLong} at position {pos} with (a|an){{0,1}} {mutAaLong}
prot	sub	MF_MRES at position PPOS instead of WRES	{sep}{mutAaLong} at position {pos} instead of {origAaLong}
prot	sub	MF_PPOS: WRES----MRES	{sep}{pos}: {origAaLong}----{mutAaLong}
prot	sub	MF_PPOS(hPOS) WRES-->MRES	{sep}{pos}\(h([1-9][0-9]*)\) {origAaLong}-->{mutAaLong}
prot	sub	MF_PPOS(fgPOS)WRES-->MRES	{sep}{pos}\(fg([1-9][0-9]*)\){origAaLong}-->{mutAaLong}
prot	sub	MF_PPOS (hPOS) WRES-->MRES	{sep}{pos} \(h([1-9][0-9]*)\) {origAaLong}-->{mutAaLong}
prot	sub	MF_PPOS (gPOS) WRES----MRES	{sep}{pos} \(g([1-9][0-9]*)\) {origAaLong}----{mutAaLong}
prot	sub	MF_PPOS (cdPOS) WRES replaced by MRES	{sep}{pos} \(cd([1-9][0-9]*)\) {origAaLong} replaced by {mutAaLong}
prot	sub	MF_PPOS (aPOS) WRES replaced by MRES	{sep}{pos} \(a([1-9][0-9]*)\) {origAaLong} replaced by {mutAaLong}
prot	sub	MF_WRESPPOS-->RES or MRES	{sep}{origAaLong}{pos}-->{skipAa} or {mutAaLong}
prot	sub	MF_WRESPPOS- > MRES	{sep}{origAaLong}{pos}- > {mutAaLong}
prot	sub	MF_WRESPPOS)MRES	{sep}{origAaLong}{pos}\){mutAaLong}
prot	sub	MF_WRESPPOS with either MRES or RES	{sep}{origAaLong}{pos} with either {mutAaLong} or {skipAa}
prot	sub	MF_WRESPPOS with either RES or MRES	{sep}{origAaLong}{pos} with either {skipAa} or {mutAaLong}
prot	sub	MF_WRESPPOS was replaced by RES, MRES	{sep}{origAaLong}{pos} was replaced by {skipAa}, {mutAaLong}
prot	sub	MF_WRESPPOS was replaced by RES, RES, or MRES	{sep}{origAaLong}{pos} was replaced by {skipAa}, {skipAa}, or {mutAaLong}
prot	sub	MF_WRESPPOS to RES, MRES	{sep}{origAaLong}{pos} to {skipAa}, {mutAaLong}
prot	sub	MF_WRESPPOS to RES, RES, MRES	{sep}{origAaLong}{pos} to {skipAa}, {skipAa}, {mutAaLong}
